,gene_name,sequence
0,"+,S10,","[3, 0, 1, 3, 0, 2, 1, 0, 0, 3, 0, 1, 2, 1, 3, 3, 2, 1, 2, 3, 3, 1, 2, 2, 3, 2, 2, 3, 3, 0, 0, 2, 3, 0, 3, 2, 3, 0, 3, 0, 0, 3, 2, 1, 2, 1, 2, 2, 2, 1, 3, 3, 2, 3, 1, 2, 3]"
1,"+,AMPC,","[3, 2, 1, 3, 0, 3, 1, 1, 3, 2, 0, 1, 0, 2, 3, 3, 2, 3, 1, 0, 1, 2, 1, 3, 2, 0, 3, 3, 2, 2, 3, 2, 3, 1, 2, 3, 3, 0, 1, 0, 0, 3, 1, 3, 0, 0, 1, 2, 1, 0, 3, 1, 2, 1, 1, 0, 0]"
2,"+,AROH,","[2, 3, 0, 1, 3, 0, 2, 0, 2, 0, 0, 1, 3, 0, 2, 3, 2, 1, 0, 3, 3, 0, 2, 1, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 0, 3, 1, 0, 3, 2, 1, 3, 0, 0, 1, 1, 0, 1, 1, 1, 2, 2, 1, 2]"
3,"+,DEOP2,","[0, 0, 3, 3, 2, 3, 2, 0, 3, 2, 3, 2, 3, 0, 3, 1, 2, 0, 0, 2, 3, 2, 3, 2, 3, 3, 2, 1, 2, 2, 0, 2, 3, 0, 2, 0, 3, 2, 3, 3, 0, 2, 0, 0, 3, 0, 1, 3, 0, 0, 1, 0, 0, 0, 1, 3, 1]"
4,"+,LEU1_TRNA,","[3, 1, 2, 0, 3, 0, 0, 3, 3, 0, 0, 1, 3, 0, 3, 3, 2, 0, 1, 2, 0, 0, 0, 0, 2, 1, 3, 2, 0, 0, 0, 0, 1, 1, 0, 1, 3, 0, 2, 0, 0, 3, 2, 1, 2, 1, 1, 3, 1, 1, 2, 3, 2, 2, 3, 0, 2]"
5,"+,MALEFG,","[0, 2, 2, 2, 2, 1, 0, 0, 2, 2, 0, 2, 2, 0, 3, 2, 2, 0, 0, 0, 2, 0, 2, 2, 3, 3, 2, 1, 1, 2, 3, 0, 3, 0, 0, 0, 2, 0, 0, 0, 1, 3, 0, 2, 0, 2, 3, 1, 1, 2, 3, 3, 3, 0, 2, 2, 3]"
6,"+,MALK,","[1, 0, 2, 2, 2, 2, 2, 3, 2, 2, 0, 2, 2, 0, 3, 3, 3, 0, 0, 2, 1, 1, 0, 3, 1, 3, 1, 1, 3, 2, 0, 3, 2, 0, 1, 2, 1, 0, 3, 0, 2, 3, 1, 0, 2, 1, 1, 1, 0, 3, 1, 0, 3, 2, 0, 0, 3]"
7,"+,RECA,","[3, 3, 3, 1, 3, 0, 1, 0, 0, 0, 0, 1, 0, 1, 3, 3, 2, 0, 3, 0, 1, 3, 2, 3, 0, 3, 2, 0, 2, 1, 0, 3, 0, 1, 0, 2, 3, 0, 3, 0, 0, 3, 3, 2, 1, 3, 3, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0]"
8,"+,RPOB,","[1, 2, 0, 1, 3, 3, 0, 0, 3, 0, 3, 0, 1, 3, 2, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 3, 1, 1, 2, 3, 3, 1, 3, 2, 3, 2, 3, 0, 0, 0, 3, 1, 2, 1, 0, 0, 3, 2, 0, 0, 0, 3, 2, 2, 3, 3, 3]"
9,"+,RRNAB_P1,","[3, 3, 3, 3, 0, 0, 0, 3, 3, 3, 1, 1, 3, 1, 3, 3, 2, 3, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 3, 0, 0, 1, 3, 1, 1, 1, 3, 0, 3, 0, 0, 3, 2, 1, 2, 1, 1, 0, 1, 1, 0, 1, 3, 2, 0, 1, 0]"
10,"+,RRNAB_P2,","[2, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 1, 3, 3, 2, 0, 1, 3, 1, 3, 2, 3, 0, 2, 1, 2, 2, 2, 0, 0, 2, 2, 1, 2, 3, 0, 3, 3, 0, 3, 2, 1, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2]"
