,gene_name,sequence
48,"+,ILVGEDA,","[2, 2, 1, 1, 0, 0]"
30,"+,PORI-L,","[1, 3, 2, 3, 3, 2]"
6,"+,MALK,","[1, 0, 2, 2, 2, 2]"
78,"-, 991,","[3, 1, 3, 1, 0, 0]"
93,"-, 244,","[3, 2, 3, 3, 2, 0]"
80,"-, 850,","[1, 3, 0, 3, 0, 3]"
92,"-,1355,","[0, 2, 0, 1, 2, 3]"
82,"-,1108,","[0, 3, 1, 1, 1, 3]"
59,"-,1024,","[3, 2, 2, 0, 3, 2]"
27,"+,UVRBP1,","[3, 1, 1, 0, 2, 3]"
18,"+,TYRT,","[3, 1, 3, 1, 0, 0]"
61,"-, 313,","[1, 2, 3, 0, 2, 1]"
51,"+,TRPR,","[3, 2, 2, 2, 2, 0]"
63,"-,1384,","[1, 3, 0, 1, 2, 2]"
71,"-, 660,","[3, 3, 0, 2, 0, 2]"
43,"+,BIOA,","[2, 1, 1, 3, 3, 1]"
1,"+,AMPC,","[3, 2, 1, 3, 0, 3]"
79,"-, 751,","[3, 2, 0, 0, 2, 3]"
42,"+,ARABAD,","[3, 3, 0, 2, 1, 2]"
41,"+,ALAS,","[0, 0, 1, 2, 1, 0]"
4,"+,LEU1_TRNA,","[3, 1, 2, 0, 3, 0]"
15,"+,RRNG_P2,","[0, 0, 2, 1, 0, 0]"
17,"+,TNAA,","[0, 0, 0, 1, 0, 0]"
40,"+,PORI-R,","[2, 0, 3, 1, 2, 1]"
38,"+,RPOA,","[3, 3, 1, 2, 1, 0]"
5,"+,MALEFG,","[0, 2, 2, 2, 2, 1]"
53,"-, 867,","[0, 3, 0, 3, 2, 0]"
97,"-, 230,","[1, 2, 1, 3, 0, 2]"
56,"-, 521,","[3, 3, 2, 0, 1, 1]"
0,"+,S10,","[3, 0, 1, 3, 0, 2]"
34,"+,TUFB,","[0, 3, 2, 1, 0, 0]"
28,"+,UVRBP3,","[0, 1, 0, 2, 3, 3]"
55,"-, 802,","[1, 0, 0, 3, 2, 2]"
50,"+,LPP,","[1, 1, 0, 3, 1, 0]"
11,"+,RRNDEX_P2","[1, 1, 3, 2, 0, 0]"
62,"-, 780,","[1, 2, 0, 1, 1, 2]"
35,"+,SUBB-E,","[1, 1, 3, 3, 2, 0]"
23,"+,TRPP2,","[0, 1, 1, 2, 2, 0]"
31,"+,SPOT42,","[0, 3, 3, 0, 1, 0]"
95,"-, 296,","[0, 2, 2, 1, 0, 3]"
57,"-, 918,","[1, 2, 3, 1, 3, 0]"
86,"-,1320,","[3, 0, 2, 0, 2, 2]"
90,"-, 260,","[2, 2, 3, 2, 3, 3]"
32,"+,M1RNA,","[0, 3, 2, 1, 2, 1]"
89,"-, 957,","[0, 1, 2, 1, 3, 0]"
14,"+,RRNG_P1,","[3, 3, 3, 0, 3, 0]"
74,"-,  35,","[1, 0, 3, 2, 0, 0]"
19,"+,ARAC,","[2, 1, 0, 0, 0, 3]"
29,"+,LEXA,","[3, 2, 3, 2, 1, 0]"
49,"+,LACP1,","[3, 0, 2, 2, 1, 0]"
103,"-,1226,","[1, 2, 1, 2, 0, 1]"
104,"-, 794,","[1, 3, 1, 2, 3, 1]"
69,"-, 753,","[0, 0, 2, 3, 2, 1]"
20,"+,LACI,","[2, 0, 1, 0, 1, 1]"
100,"-, 663,","[2, 0, 2, 0, 2, 1]"
72,"-,1216,","[3, 0, 3, 3, 1, 2]"
77,"-, 413,","[0, 2, 2, 0, 2, 2]"
25,"+,BIOB,","[3, 3, 2, 3, 1, 0]"
37,"+,SPC,","[1, 1, 2, 3, 3, 3]"
81,"-,  93,","[2, 1, 2, 2, 1, 0]"
46,"+,HIS,","[0, 3, 0, 3, 0, 0]"
96,"-, 648,","[1, 1, 2, 0, 2, 3]"
39,"+,RPLJ,","[3, 2, 3, 0, 0, 0]"
65,"-,  39,","[0, 0, 1, 3, 1, 0]"
58,"-,1481,","[2, 1, 1, 0, 0, 3]"
12,"+,RRND_P1,","[2, 0, 3, 1, 0, 0]"
94,"-, 464,","[3, 2, 1, 0, 1, 2]"
88,"-, 217,","[3, 3, 0, 1, 2, 3]"
70,"-, 630,","[2, 0, 0, 2, 0, 1]"
87,"-,  91,","[1, 0, 2, 1, 2, 2]"
36,"+,STR,","[3, 1, 2, 3, 3, 2]"
21,"+,MALT,","[0, 0, 0, 0, 0, 1]"
83,"-, 915,","[3, 2, 2, 1, 2, 3]"
9,"+,RRNAB_P1,","[3, 3, 3, 3, 0, 0]"
102,"-, 987,","[2, 3, 0, 3, 3, 1]"
67,"-, 988,","[3, 0, 3, 3, 1, 3]"
64,"-, 507,","[0, 3, 0, 2, 3, 1]"
47,"+,HISJ,","[1, 0, 0, 2, 2, 3]"
44,"+,DEOP1,","[1, 0, 2, 0, 0, 0]"
